,batter_name,pitch_number,pitcher_handedness,batter_handedness,inning,outs,strikes,outs_on_play,velocity,vertical_release_angle,horizontal_release_angle,spin_rate,release_height,extension,vertical_break,induced_vertical_break,horizontal_break,height_at_plate,side_at_plate,zone_speed,vertical_approach_angle,horz_approach_angle,zone_time,exit_velocity,launch_angle,direction,hit_spin_rate,position_at_110x,position_at_110y,position_at_110z,distance,last_tracked_distance,bearing,hang_time,pfxx,pfxz,vx0,vy0,vz0,ax,ay,play_result,traditional_cluster,distance_needed,potential_coverage,fielder_play_result,custom_cluster
52,"Seymour, Bobby",49.0,0,0,2.0,0.0,2.0,0.0,75.52516920000001,2.4858379680000002,0.9692992890000001,2458.0838710000003,5.724754547000001,4.399523536,-58.33720247,-6.467665133,10.27048137,3.2376082489999995,0.015525911000000002,69.19483586,-8.157716739,2.852785155,0.518355493,100.19478520000001,15.03509818,28.52463713,2216.360983,94.25851486,19.29630293,56.70328364,208.753199,207.6003551,33.23283935,1.843497925,-4.980540798,-4.024672563999999,-2.206362029,-109.5477135,2.751917389,-6.033948057000001,19.90106607,1,9.0,86.26027591604247,55.30493775,1.0,5.0
53,"Seymour, Bobby",246.0,1,1,6.0,0.0,1.0,0.0,78.26492649,-0.680701386,-2.488439935,1791.050469,5.88606007,6.633542157999999,-29.67317225,15.17533507,13.12641288,2.789563307,0.155353821,70.6338507,-6.36499377,0.035876213,0.48199830899999996,58.10629346,29.08023113,-21.61259574,5358.1683140000005,97.76706625,18.82671918,-50.41423179,141.69193909999998,141.20252050000002,-28.95365713,2.266389771,-8.121025493,8.665906737,4.629228722,-113.8500479,-2.074055378,-10.47303417,24.30404873,1,6.0,10.533821034115546,67.99169313,0.0,0.0
54,"Seymour, Bobby",45.0,0,0,1.0,2.0,1.0,0.0,82.15589241,-0.8958556590000001,3.1691915610000003,2063.721496,6.090692452000001,6.816877643,-35.87515449,4.391732023,-0.7421046990000001,2.28257699,0.572614641,74.81704717,-7.747229037,3.026703972,0.45671528200000006,99.90014751,7.72064401,4.584004031,,109.8167721,5.687917526000001,6.3419427189999995,146.7388696,146.7388696,3.1522856160000003,1.157873535,1.409500505,2.7376364630000003,-6.598891445,-119.508449,-2.7518479489999996,2.0135629219999998,25.65692976,1,4.0,9.02573873076484,34.73620605,1.0,5.0
55,"Seymour, Bobby",313.0,1,1,7.0,1.0,2.0,1.0,88.22425036,-2.214599829,-1.786856784,1869.030944,6.442348739,5.914255492000001,-22.39202366,13.63554821,8.781732318,2.519273079,-0.02353652,80.21426696,-6.42350216,-0.127024945,0.43200524,99.90409897,-6.732994923,37.8276093,,,,,20.03086611,17.53111019,34.89763902,0.130775757,-5.28884089,8.043584734,3.7207230460000003,-128.2197841,-5.673022593,-8.732635152,28.53512883,0,3.0,90.0505171882438,3.92327271,0.0,1.0
56,"Seymour, Bobby",315.0,1,1,11.0,2.0,1.0,0.0,90.1078087,-1.025139279,-3.77815281,2084.879548,5.900431124,5.733719376,-35.30027438,-0.32052419600000004,16.20765883,2.002023129,-0.328696152,81.73936934,-7.646460227,-0.723308863,0.425676691,102.11046529999999,9.451868946,-13.75036704,3219.053348,105.05424359999999,12.96935711,-32.61269378,218.96609019999997,216.81982119999998,-21.83956958,1.9519500730000001,-9.900415882,0.148863212,8.092308771,-130.7376013,-3.5232505310000004,-16.93073643,30.63561781,1,8.0,102.82747983262675,58.558502190000006,1.0,0.0
57,"Seymour, Bobby",166.0,1,1,6.0,1.0,2.0,1.0,79.52340836,1.4349516880000002,-1.6696884159999998,2506.941155,6.173623195,5.328105031000001,-47.90648516,-3.156365226,-1.21181392,3.528553791,-0.118861613,73.43807644,-7.419192877,-1.894621785,0.48146932200000003,72.92164391,-29.58199713,32.03904563,,,,,6.775719357000001,3.5345337139999997,29.01226122,0.064668579,0.204055942,-2.040241106,3.409743813,-115.64153030000001,1.36357145,0.277981853,20.35270337,0,3.0,103.24290511364956,1.9400573700000001,0.0,1.0
58,"Seymour, Bobby",99.0,1,1,4.0,0.0,2.0,0.0,92.29385507,-0.372270883,-2.511185656,2189.523288,5.495003187999999,6.125246753,-22.47626081,10.19697408,8.697299595,3.2775573839999996,0.739306793,83.61443675,-4.630588052,-0.8609795379999999,0.411403125,99.17000817,-23.31968376,-43.08406836,,,,,7.3408192979999995,6.360934447000001,-49.35807342,0.053738403,-5.50893023,5.672480147999999,5.607615365,-134.20442830000002,-1.5915819709999999,-9.951429707,31.62603774,1,5.0,109.44409712578857,1.61215209,1.0,6.0
59,"Seymour, Bobby",96.0,1,1,4.0,1.0,2.0,1.0,83.88438038,-1.976245345,-3.295341867,1964.537664,6.497726872,6.440484607999999,-30.55159934,8.416537872000001,10.11880392,2.132268899,0.330146953,76.80397675,-7.7497931520000005,-1.371333594,0.449289575,67.49439854,-45.93747544,24.61661615,,,,,3.018923436,2.7193125210000004,9.762787817000001,0.029424437999999997,-6.526329629,5.207439769,6.743205572999999,-121.92903079999999,-5.05125639,-9.785931773,24.8591139,0,4.0,147.43942023315498,0.8827331399999999,0.0,1.0
60,"Seymour, Bobby",155.0,1,1,6.0,1.0,0.0,1.0,82.41108387,-0.896958028,-4.368478059,1959.241329,6.51873186,6.817440298999999,-26.73917363,13.04069802,14.21632059,3.46979786,-0.035746422,75.28747587,-5.999337939,-1.6521295880000002,0.453944969,77.13078584,-11.43274886,40.36062991,,,,,17.50445293,15.51143736,36.75038562,0.148234253,-9.179353426,7.533308947999999,8.797744752,-119.77894740000002,-2.543671423,-13.30430952,23.64263454,0,3.0,92.71398945483132,4.44702759,0.0,1.0
61,"Seymour, Bobby",47.0,1,1,2.0,0.0,0.0,0.0,90.8096704,0.511019027,-4.295843823,2133.51645,4.735880752,6.8951511,-31.90199936,0.648546419,14.67102073,2.5441706330000002,0.135062607,83.18047909,-5.5800973229999995,-1.492718234,0.410629982,110.12105009999999,-2.181869006,10.70545798,,,,,36.31735925,33.13032487,10.2578515,0.228502808,-9.386707603,0.221818971,9.524524743999999,-132.05035800000002,0.322702867,-16.59212194,27.83367597,1,4.0,113.70579462355956,6.85508424,1.0,2.0
